KEY,SPEAKER,SENTENCE,SHOW,SARCASM,SENTIMENT_IMPLICIT,SENTIMENT_EXPLICIT,EMOTION_IMPLICIT,EMOTION_EXPLICIT,,,
1_105,SHELDON,"Great Caesar's ghost, look at this place.",BBT,TRUE,-1,-1,"6,1","6,1",,,
1_105,LEONARD,So Penny's a little messy.,BBT,TRUE,-1,-1,4,4,,,
1_105,SHELDON,A little messy?,BBT,TRUE,-1,-1,"9,1","9,1",,,
1_105,SHELDON,The Mandelbrot set of complex numbers is a little messy. This is chaos.,BBT,TRUE,-1,-1,"9,1","9,1",,,
1_105,SHELDON,Excuse me.,BBT,TRUE,-1,-1,"9,1",1,,,
1_105,SHELDON,Explain to me an organizational system where a tray of flatware on a couch is valid.,BBT,TRUE,-1,0,"9,1",8,,,
1_105,SHELDON,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,BBT,TRUE,-1,0,"9,1",8,,,
"
",,,,,,,,,,,
1_162,PERSON,"On the other hand, no arousal.",BBT,FALSE,-1,0,4,8,,,
1_162,LEONARD,None?,BBT,FALSE,1,1,5,5,,,
1_162,PERSON,None.,BBT,FALSE,0,0,8,8,,,
1_162,LEONARD,Thank you for your time.,BBT,FALSE,1,1,8,8,,,
1_162,PERSON,Thank you.,BBT,FALSE,1,1,2,2,,,
1_162,LEONARD,None at all?,BBT,FALSE,1,1,5,5,,,
1_162,HOWARD,"Sheldon, if you were a robot, and I knew and you didn't...",BBT,FALSE,0,0,8,8,,,
"
",,,,,,,,,,,
1_175,SHELDON,"Oh, good Lord.",BBT,TRUE,-1,-1,9,9,,,
1_175,LEONARD,"God, that's a good song.",BBT,TRUE,1,1,7,7,,,
1_175,SHELDON,"If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.",BBT,TRUE,-1,0,9,8,,,
"
",,,,,,,,,,,
1_182,LEONARD,How do I look?,BBT,TRUE,-1,-1,4,4,,,
1_182,SHELDON,Could you be more specific?,BBT,TRUE,0,0,8,8,,,
1_182,LEONARD,Can you tell I'm perspiring a little?,BBT,TRUE,-1,-1,4,4,,,
1_182,SHELDON,No. The dark crescent-shaped patterns under your arms conceal it nicely.,BBT,TRUE,-1,1,9,7,,,
"
",,,,,,,,,,,
1_213,SHELDON,"You know, I am not going to enjoy this party.",BBT,TRUE,-1,-1,6,6,,,
1_213,LEONARD,"I know, I'm familiar with you.",BBT,TRUE,0,0,8,8,,,
1_213,SHELDON,"The last department party, Professor Finkleday cornered me and talked about spelunking for 45 minutes.",BBT,TRUE,-1,-1,6,6,,,
1_213,LEONARD,"Yes, I was there.",BBT,TRUE,0,0,8,8,,,
1_213,SHELDON,You know what's interesting about caves?,BBT,TRUE,-1,1,6,2,,,
1_213,LEONARD,What?,BBT,TRUE,1,1,5,5,,,
1_213,SHELDON,Nothing.,BBT,TRUE,-1,-1,6,6,,,
1_213,LEONARD,"Then we'll avoid him, we'll meet the new department head, congratulate him, shake his hand and go.",BBT,TRUE,1,1,8,8,,,
1_213,SHELDON,"How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.",BBT,TRUE,-1,1,6,"2,7",,,
"
",,,,,,,,,,,
1_276,PERSON,"He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him.",BBT,TRUE,-1,-1,4,4,,,
1_276,PERSON,You're in?,BBT,TRUE,1,1,2,2,,,
1_276,LEONARD,"Yeah, sure, why not?",BBT,TRUE,1,1,2,2,,,
1_276,PERSON,"Great, we rehearse on Tuesdays at your place.",BBT,TRUE,1,1,"2,7","2,7",,,
1_276,LEONARD,Why at my place?,BBT,TRUE,1,1,5,5,,,
1_276,PERSON,Department of Energy said our regular space is kind of a hot zone.,BBT,TRUE,1,1,2,2,,,
1_276,PERSON,Nice meeting you.,BBT,TRUE,1,1,7,7,,,
1_276,PENNY,"Yeah, you, too.
Leonard, I didn't know you played the cello.",BBT,TRUE,1,1,"2,5","2,5",,,
1_276,LEONARD,"Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.",BBT,TRUE,-1,0,"4,9",8,,,
"
",,,,,,,,,,,
1_340,SHELDON,"And I cannot believe people pay for horoscopes, but on a more serious note, it's 8:13 and we're still not playing Halo.",BBT,TRUE,-1,-1,6,6,,,
1_340,LEONARD,Fine. We'll just play one-on-one until he gets back.,BBT,TRUE,0,0,8,8,,,
1_340,SHELDON,One-on-one? We don't play one-on-one.,BBT,TRUE,1,1,5,5,,,
1_340,SHELDON,"We play teams, not one-on-one.",BBT,TRUE,-1,-1,9,9,,,
1_340,SHELDON,One-on-one.,BBT,TRUE,-1,-1,9,9,,,
1_340,LEONARD,The only way we can play teams at this point is if we cut Raj in half.,BBT,TRUE,-1,-1,8,8,,,
1_340,RAJ,"Sure, cut the foreigner in half. There's a billion more where he came from.",BBT,TRUE,-1,0,6,8,,,
"
",,,,,,,,,,,
1_410,LEONARD,Do you really need the Honorary Justice League of American membership card?,BBT,FALSE,1,1,5,5,,,
1_410,SHELDON,It's been in every wallet I've owned since I was five.,BBT,FALSE,0,0,8,8,,,
1_410,LEONARD,Why?,BBT,FALSE,1,1,5,5,,,
1_410,SHELDON,"It says, ""Keep this on your person at all times.""",BBT,FALSE,0,0,8,8,,,
1_410,SHELDON,It's right here under Batman's signature.,BBT,FALSE,0,0,8,8,,,
1_410,RAJ,and this is Leonard and Sheldon's apartment.,BBT,FALSE,1,1,2,2,,,
1_410,HOWARD,Guess whose parents just got broadband.,BBT,FALSE,-1,0,6,8,,,
1_410,RAJ,"Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",BBT,FALSE,1,1,2,2,,,
"
",,,,,,,,,,,
1_427,SHELDON,This is Dr. Sheldon Cooper.,BBT,TRUE,0,0,8,8,,,
1_427,SHELDON,"Yeah, I need to cancel my membership to the planetarium.",BBT,TRUE,0,0,8,8,,,
1_427,SHELDON,"Well, I'm sorry, too, but there's just no room for you in my wallet.",BBT,TRUE,-1,-1,4,4,,,
"
",,,,,,,,,,,
1_430,SHELDON,"but it was between you and the Museum of Natural History, and frankly, you don't have dinosaurs.",BBT,FALSE,-1,-1,4,4,,,
1_430,SHELDON,"I'll miss you, too. Bye-bye.",BBT,FALSE,-1,-1,6,4,,,
1_430,SHELDON,"Okay, I know you're texting about me and I'd really like you to stop.",BBT,FALSE,-1,1,6,7,,,
1_430,RAJ,"Oh, dear, I am rightly and truly screwed.",BBT,FALSE,-1,-1,4,4,,,
1_430,LEONARD,"Hey, I thought you were finding new friends.",BBT,FALSE,1,1,8,8,,,
1_430,RAJ,"I've got some feelers out. In the meantime, listen to this.",BBT,FALSE,1,1,8,8,,,
"
",,,,,,,,,,,
1_467,SHELDON,"When I was a little boy and got sick, which was most of the time, my mother would read it to me.",BBT,FALSE,1,1,8,8,,,
1_467,SHELDON,It's about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different.,BBT,FALSE,0,0,8,8,,,
1_467,SHELDON,"For some reason, I related to it quite strongly.",BBT,FALSE,0,0,8,8,,,
1_467,PENNY,I know the reason.,BBT,FALSE,1,1,2,2,,,
1_467,LEONARD,We all know the reason.,BBT,FALSE,0,0,8,8,,,
1_467,LEONARD,"Sheldon, what are you getting at?",BBT,FALSE,0,0,8,8,,,
1_467,SHELDON,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,BBT,FALSE,-1,0,6,8,,,
"
",,,,,,,,,,,
1_506,HOWARD,I'm with you. I just have to make sure if I'm a synthetic human I'd still be Jewish.,BBT,FALSE,0,0,8,8,,,
1_506,HOWARD,I promised my mother.,BBT,FALSE,0,0,8,8,,,
1_506,RAJ,I suppose you could have your android penis circumcised.,BBT,FALSE,1,1,5,5,,,
1_506,RAJ,But that's something your rabbi would have to discuss with the manufacturer.,BBT,FALSE,0,0,8,8,,,
1_506,SHELDON,Not to mention you'd have to power down on saturdays.,BBT,FALSE,-1,-1,4,4,,,
"
",,,,,,,,,,,
1_507,HOWARD,I promised my mother.,BBT,TRUE,0,0,8,8,,,
1_507,RAJ,I suppose you could have your android penis circumcised.,BBT,TRUE,1,1,5,5,,,
1_507,RAJ,But that's something your rabbi would have to discuss with the manufacturer.,BBT,TRUE,0,0,8,8,,,
1_507,SHELDON,Not to mention you'd have to power down on saturdays.,BBT,TRUE,-1,-1,4,4,,,
1_507,LEONARD,"Sheldon, why is this letter in the trash?",BBT,TRUE,1,1,5,5,,,
1_507,SHELDON,"Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.",BBT,TRUE,-1,0,6,8,,,
"
",,,,,,,,,,,
1_533,LEONARD,"Because it's not a costume, it's a flight suit.",BBT,FALSE,0,0,8,8,,,
1_533,PENNY,"Ok, alright, moving on.",BBT,FALSE,1,1,"5,2","5,2",,,
1_533,PENNY,"Oh, wow. A paisley shirt.",BBT,FALSE,1,1,5,5,,,
1_533,LEONARD,It goes with my corduroy suit.,BBT,FALSE,-1,-1,4,4,,,
1_533,PENNY,"If you mean it should end up in the same place, then I agree.",BBT,FALSE,-1,-1,9,4,,,
1_533,PENNY,Is this your only tie?,BBT,FALSE,-1,-1,5,5,,,
1_533,LEONARD,"Technically, yes. But, if you'll notice... It's reversible!",BBT,FALSE,-1,-1,"8,4","8,4",,,
"
",,,,,,,,,,,
1_536,PENNY,Hey Sheldon.,BBT,TRUE,1,1,2,2,,,
1_536,SHELDON,Hello Penny.,BBT,TRUE,1,1,2,2,,,
1_536,PENNY,Get anything good?,BBT,TRUE,1,1,"5,2","5,2",,,
1_536,SHELDON,Just the latest copy of Applied Particle Physics quarterly.,BBT,TRUE,0,0,8,8,,,
"
",,,,,,,,,,,
1_537,PENNY,Hey Sheldon.,BBT,TRUE,1,1,2,2,,,
1_537,SHELDON,Hello Penny.,BBT,TRUE,1,1,2,2,,,
1_537,PENNY,Get anything good?,BBT,TRUE,1,1,"5,2","5,2",,,
1_537,SHELDON,Just the latest copy of Applied Particle Physics quarterly.,BBT,TRUE,0,0,8,8,,,
1_537,PENNY,"Oh, you know, that is so weird that yours came and mine didn't.",BBT,TRUE,0,-1,8,"5,4",,,
"
",,,,,,,,,,,
1_672,SHELDON,I want grilled cheese.,BBT,FALSE,0,0,8,8,,,
1_672,SHELDON,Do you think Penny will come here and take care of us?,BBT,FALSE,-1,-1,4,4,,,
"
",,,,,,,,,,,
1_971,LEONARD,Take that!,BBT,TRUE,1,1,2,2,,,
1_971,LEONARD,What's the matter?,BBT,TRUE,0,0,8,8,,,
1_971,HOWARD,This granola bar has peanuts in it!,BBT,TRUE,-1,0,"8,4",8,,,
1_971,LEONARD,"Oh, my God. Why did you eat it?",BBT,TRUE,-1,-1,5,5,,,
1_971,HOWARD,I don't know. It was just there!,BBT,TRUE,-1,-1,6,6,,,
1_971,LEONARD,"If I had a gun there, would you have shot yourself?",BBT,TRUE,-1,-1,1,1,,,
1_971,HOWARD,Don't yell at me! I've got to go to the emergency room!,BBT,TRUE,-1,-1,1,4,,,
1_971,HOWARD,"- Now?! - No, after my tongue has swollen to the size of a brisket!",BBT,TRUE,-1,0,1,8,,,
"
",,,,,,,,,,,
1_1001,SHELDON,Or maybe she just doesn't want to talk.,BBT,FALSE,-1,-1,6,6,,,
1_1001,RAJ,"Look, I found an iPod!",BBT,FALSE,1,1,2,2,,,
1_1001,HOWARD,It's smashed beyond repair. What are you gonna do with it?,BBT,FALSE,0,0,8,8,,,
1_1001,RAJ,"What else? Sell it on eBay as ""slightly used.""",BBT,FALSE,-1,1,"5,4",5,,,
"
",,,,,,,,,,,
1_1003,HOWARD,It's smashed beyond repair. What are you gonna do with it?,BBT,TRUE,0,0,8,8,,,
1_1003,RAJ,"What else? Sell it on eBay as ""slightly used.""",BBT,TRUE,-1,1,"5,4",5,,,
1_1003,LEONARD,"It was Penny's boyfriend's, they broke up.",BBT,TRUE,-1,-1,4,4,,,
1_1003,HOWARD,"Apparently, he posted intimate details of their physical relationship on his blog which I cannot find anywhere.",BBT,TRUE,-1,-1,1,1,,,
1_1003,LEONARD,I'm gonna go back and try talking to her again.,BBT,TRUE,-1,-1,4,4,,,
1_1003,HOWARD,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",BBT,TRUE,-1,-1,1,4,,,
"
",,,,,,,,,,,
1_1144,HOWARD,Are you saying that you've been holding back?,BBT,TRUE,0,0,8,8,,,
1_1144,LEONARD,Of course. Out of respect.,BBT,TRUE,1,1,5,5,,,
1_1144,HOWARD,"So, how do you explain the ten years before Penny?",BBT,TRUE,-1,1,5,5,,,
1_1144,RAJ,Who were you respecting then?,BBT,TRUE,-1,-1,5,5,,,
1_1144,LEONARD,"Well, I've dated plenty of women.",BBT,TRUE,1,1,8,8,,,
1_1144,LEONARD,"There was Joyce Kim, Leslie Winkle",BBT,TRUE,0,0,8,8,,,
1_1144,SHELDON,"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",BBT,TRUE,-1,0,9,8,,,
"
",,,,,,,,,,,
1_1180,SHELDON,Pastries such as bear claws?,BBT,TRUE,1,1,5,5,,,
1_1180,PENNY,"Yeah, sure.",BBT,TRUE,0,0,8,8,,,
1_1180,SHELDON,I don't like bear claws.,BBT,TRUE,-1,-1,4,4,,,
1_1180,PERSON,"Hey, Penny.",BBT,TRUE,-1,-1,6,6,,,
1_1180,PERSON,Dumbass.,BBT,TRUE,-1,-1,9,9,,,
1_1180,SHELDON,Leslie Winkle.,BBT,TRUE,-1,-1,6,6,,,
1_1180,SHELDON,"Of all the overrated physicists in all the labs in all the world, why does it have to be Leslie Winkle?",BBT,TRUE,-1,-1,6,6,,,
1_1180,PENNY,"They have a lot in common. I mean, they're both scientists.",BBT,TRUE,0,0,8,8,,,
1_1180,SHELDON,"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.",BBT,TRUE,-1,-1,6,6,,,
"
",,,,,,,,,,,
1_1185,LEONARD,"I'm sorry about all of Sheldon's interruptions.
He can be a bit of an eccentric.",BBT,FALSE,-1,-1,4,4,,,
1_1185,PERSON,"If by ""eccentric"" you mean passive-aggressive East Texas blowhole, I agree.",BBT,FALSE,-1,-1,6,6,,,
1_1185,LEONARD,I think tonight was a very good start.,BBT,FALSE,1,0,2,8,,,
"
",,,,,,,,,,,
1_1189,PERSON1,That's enough.,BBT,FALSE,0,0,8,8,,,
1_1189,PERSON1,Call me.,BBT,FALSE,0,1,8,2,,,
1_1189,LEONARD,Right.,BBT,FALSE,1,1,5,5,,,
1_1189,PENNY,"Okay, good night.",BBT,FALSE,0,1,8,2,,,
1_1189,PERSON2,What?,BBT,FALSE,-1,-1,5,5,,,
1_1189,PENNY,Had a great time. Ciao.,BBT,FALSE,0,1,8,2,,,
1_1189,SHELDON,"I'm sorry, I am not going back to the Renaissance fair.",BBT,FALSE,-1,-1,6,4,,,
"
",,,,,,,,,,,
1_1262,SHELDON,"Leonard, this is Tom.",BBT,FALSE,0,0,8,8,,,
1_1262,LEONARD,"Hi, Tom. Sheldon?",BBT,FALSE,1,1,7,7,,,
1_1262,LEONARD,Didn't I explain to you about your little mistake in the cafeteria?,BBT,FALSE,0,0,8,8,,,
1_1262,SHELDON,You were very clear. As was everyone else at the table.,BBT,FALSE,0,0,8,8,,,
"
",,,,,,,,,,,
1_1296,RAJ,"They're going to digitally add a supernova.
They say it's the perfect metaphor for my incandescent talent.",BBT,TRUE,1,1,2,2,,,
1_1296,SHELDON,"Right, a ball of hot, flaming gas that collapses upon itself.",BBT,TRUE,0,0,8,8,,,
1_1296,RAJ,"Excuse me. Oh, it's my assistant, Trevor.",BBT,TRUE,1,1,2,2,,,
1_1296,RAJ,Go for Koothrappali.,BBT,TRUE,0,0,8,8,,,
1_1296,HOWARD,"They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.",BBT,TRUE,-1,-1,5,5,,,
"
",,,,,,,,,,,
1_1466,PERSON,"Excuse me, Dr. Cooper. I'm Kathy O'Brien.",BBT,TRUE,1,1,7,7,,,
1_1466,PERSON,"I just finished reading your paper reconciling the black hole information paradox with your theory of string-network condensates, and it just took my breath away.",BBT,TRUE,1,1,"7,2","7,2",,,
1_1466,SHELDON,"Maybe when I publish it, I'll include an inhaler.",BBT,TRUE,0,0,8,8,,,
"
",,,,,,,,,,,
1_1470,PENNY,"Hey, guys, I need to use your TV.",BBT,FALSE,1,1,7,7,,,
1_1470,SHELDON,What's wrong with your TV?,BBT,FALSE,1,1,5,5,,,
1_1470,PENNY,I don't know. It just died. I'm getting a bunch of static.,BBT,FALSE,-1,-1,4,4,,,
"
",,,,,,,,,,,
1_1478,LEONARD,Did I miss anything? Did they kick Giselle off?,BBT,TRUE,1,1,8,8,,,
1_1478,RAJ,"Not yet, but her underwater photo shoot was an embarrassment.",BBT,TRUE,-1,-1,4,4,,,
1_1478,HOWARD,"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.",BBT,TRUE,-1,1,4,7,,,
"
",,,,,,,,,,,
1_1484,SHELDON,Who touched my窶?BBT,FALSE,-1,-1,1,1,丕,,,
1_1484,HOWARD,Penny! Penny did it.,BBT,FALSE,0,0,8,8,,,
1_1484,SHELDON,Why would you do that?,BBT,FALSE,-1,-1,"1,4","1,4",,,
1_1484,PENNY,"I don't know. I was hungry?
What's the big deal?",BBT,FALSE,-1,-1,6,6,,,
1_1484,SHELDON,The big deal is that nobody touches food on my plate.,BBT,FALSE,-1,-1,1,1,,,
"
",,,,,,,,,,,
1_1549,SHELDON,Will you at least stipulate that Star Trek IV: The Voyage Home is inarguably the best?,BBT,TRUE,-1,-1,6,6,,,
1_1549,RAJ,I have three words for you: Wrath of Khan.,BBT,TRUE,-1,-1,6,6,,,
1_1549,HOWARD,"Thank God, you're here.",BBT,TRUE,1,1,4,4,,,
1_1549,LEONARD,What's the emergency?,BBT,TRUE,-1,-1,5,5,,,
1_1549,HOWARD,I got the Mars Rover stuck in a ditch.,BBT,TRUE,-1,-1,4,4,,,
1_1549,SHELDON,Where?,BBT,TRUE,1,1,5,5,,,
1_1549,HOWARD,On a dusty highway just outside Bakersfield. Where do you think? On Mars!,BBT,TRUE,-1,-1,1,"4,1",,,
"
",,,,,,,,,,,
1_1560,HOWARD,So my friend Leonard is gonna take you home.,BBT,TRUE,0,0,8,8,,,
1_1560,PERSON,"Okay. Let's go, friend Leonard.",BBT,TRUE,1,1,"4,2","4,2",,,
1_1560,HOWARD,I'll call ya.,BBT,TRUE,1,1,"4,2","4,2",,,
1_1560,PERSON,So are you a scientist like Howard?,BBT,TRUE,1,1,5,5,,,
1_1560,LEONARD,No one's a scientist like Howard.,BBT,TRUE,-1,1,9,2,,,
1_1560,HOWARD,My mother is so gonna love her.,BBT,TRUE,-1,-1,4,4,,,
1_1560,SHELDON,How nice. Maybe they can carpool when they visit you in federal prison.,BBT,TRUE,-1,-1,9,4,,,
"
",,,,,,,,,,,
1_1627,PERSON,"So, we're all standing around looking at the post-op X ray and there it is, clear as day, right in the guy's chest cavity...one of my earrings.",BBT,FALSE,1,1,2,2,,,
1_1627,LEONARD,"Oh, my God, what did you do?",BBT,FALSE,-1,-1,5,5,,,
1_1627,PERSON,"What do you think I did? I discreetly slipped off the other earring, put it in my pocket and then got the hell out of there!",BBT,FALSE,-1,-1,2,2,,,
"
",,,,,,,,,,,
1_1638,LEONARD,"What, Sheldon? What, Sheldon?! What, Sheldon?!",BBT,TRUE,-1,-1,6,6,,,
1_1638,SHELDON,Tell me what you see here.,BBT,TRUE,0,0,8,8,,,
1_1638,LEONARD,The blunt instrument that will be the focus of my murder trial?,BBT,TRUE,-1,0,"4,6",8,,,
"
",,,,,,,,,,,
1_1666,SHELDON,"it will establish you as the ""alpha"" male.",BBT,FALSE,1,1,2,2,,,
1_1666,SHELDON,"You see... when a female witnesses an exhibition of physical domination, she produces the hormone oxytocin.",BBT,FALSE,1,1,2,2,,,
1_1666,SHELDON,"If the two of you then engage in intercourse, this will create the biochemical reaction in the brain which lay people naively interpret as ""falling in love.""",BBT,FALSE,1,1,2,2,,,
1_1666,LEONARD,Huh,BBT,FALSE,-1,-1,5,5,,,
1_1666,LEONARD,Would it work if I just punched you in the face?,BBT,FALSE,-1,-1,6,6,,,
"
",,,,,,,,,,,
1_1678,LEONARD,Can you open this for me?,BBT,FALSE,1,1,8,8,,,
1_1678,RAJ,Can I see your stitches?,BBT,FALSE,1,1,5,5,,,
1_1678,LEONARD,Sure.,BBT,FALSE,1,1,8,8,,,
1_1678,RAJ,Answering the question once and for all why Wolowitz bailed out of medical school.,BBT,FALSE,0,0,8,8,,,
"
",,,,,,,,,,,
1_1722,PERSON,What are you doing here?,BBT,FALSE,-1,-1,5,5,,,
1_1722,SHELDON,Hang on. 130 over 80. It's a little high.,BBT,FALSE,1,1,8,8,,,
1_1722,SHELDON,We can attribute that to the stress of sneaking past the security desk.,BBT,FALSE,0,0,8,8,,,
1_1722,PERSON,Where did you get the stethoscope and the blood pressure cuff?,BBT,FALSE,1,1,5,5,,,
1_1722,SHELDON,My aunt Marion gave them to me for my 12th birthday.,BBT,FALSE,0,0,8,8,,,
"
",,,,,,,,,,,
1_1732,PERSON,Oh no,BBT,TRUE,-1,-1,"4,5","4,5",,,
1_1732,SHELDON,What?,BBT,TRUE,1,1,5,5,,,
1_1732,PERSON,You were right. Your larynx is terribly inflamed. I've never seen anything like it.,BBT,TRUE,1,1,5,5,,,
"
",,,,,,,,,,,
1_1772,HOWARD,There are always do-overs when my people play sports.,BBT,TRUE,-1,-1,4,4,,,
1_1772,SHELDON,Where were you that's more important than Wii bowling night?,BBT,TRUE,-1,1,4,5,,,
1_1772,LEONARD,Actually...,BBT,TRUE,1,1,5,8,,,
1_1772,SHELDON,"It's rhetorical.
There is nothing more important than Wii bowling night.",BBT,TRUE,-1,0,4,8,,,
1_1772,LEONARD,"Come on, it's just a video game. And we suck at it.",BBT,TRUE,-1,-1,4,4,,,
1_1772,SHELDON,Nice motivational speech from the team captain.,BBT,TRUE,-1,1,"4,1",2,,,
1_1772,SHELDON,Where were you?,BBT,TRUE,1,1,5,5,,,
1_1772,HOWARD,"""Dave."" Sounds like Leonard's got a new BFF.",BBT,TRUE,-1,1,"4,1",2,,,
"
",,,,,,,,,,,
1_1798,HOWARD,You're kidding. You've got lotions and bath oils and soaps. That's the estrogen hat trick.,BBT,TRUE,1,1,"5,7","5,7",,,
1_1798,SHELDON,"What it is is a cacophonous assault of eucalyptus, bayberry, cinnamon and vanilla.",BBT,TRUE,-1,-1,6,6,,,
1_1798,SHELDON,It's as if my head were trapped in the pajamas of a sultan.,BBT,TRUE,-1,-1,6,6,,,
1_1798,RAJ,"If you don't like this stuff, let's go next door and build her a bear.",BBT,TRUE,-1,-1,1,1,,,
"
",,,,,,,,,,,
1_1803,PERSON,"Leonard. Come, join us.",BBT,TRUE,1,1,2,2,,,
1_1803,LEONARD,"Hey, Dave.
And Penny, what a surprise.",BBT,TRUE,-1,1,4,"7,5",,,
1_1803,PENNY,Dave was just showing me around the university. This place is unbelievable!,BBT,TRUE,1,1,2,2,,,
1_1803,LEONARD,"I know, I've been offering to show you around for a year and a half. You always said you had yoga.",BBT,TRUE,-1,1,4,7,,,
1_1803,LEONARD,"- Maybe I heard you wrong. A lot of words sound like ""yoga.""",BBT,TRUE,-1,0,4,8,,,
"
",,,,,,,,,,,
1_1931,LEONARD,Where are we going?,BBT,TRUE,1,1,5,5,,,
1_1931,SHELDON,You're driving me to the mall.,BBT,TRUE,0,0,8,8,,,
1_1931,SHELDON,I'm going to acquire a book that summarizes the current theories in the field of friend-making.,BBT,TRUE,0,0,8,8,,,
1_1931,LEONARD,Why don't you just lie down on the floor and swim there?,BBT,TRUE,-1,0,9,8,,,
"
",,,,,,,,,,,
1_1973,SHELDON,Ask me why.,BBT,TRUE,0,0,8,8,,,
1_1973,LEONARD,Do I have to?,BBT,TRUE,-1,0,4,8,,,
1_1973,SHELDON,Of course. That's how you move a conversation forward.,BBT,TRUE,0,0,8,8,,,
1_1973,LEONARD,Why?,BBT,TRUE,-1,0,4,8,,,
1_1973,SHELDON,The learning opportunities would be abundant.,BBT,TRUE,0,0,8,8,,,
1_1973,SHELDON,"Additionally, I like having my belly scratched.",BBT,TRUE,1,1,7,7,,,
1_1973,PENNY,I hope I'm a waitress at the Cheesecake Factory for my whole life.,BBT,TRUE,-1,1,"4,6","7,2",,,
"
",,,,,,,,,,,
1_1987,LEONARD,Hey.,BBT,TRUE,1,1,2,2,,,
1_1987,PENNY,Hey.,BBT,TRUE,-1,0,4,8,,,
1_1987,LEONARD,"A little mood lighting, huh?",BBT,TRUE,1,1,5,5,,,
1_1987,PENNY,"When I didn't pay my bill, the Department of Water and Power thought I would enjoy the ambience.",BBT,TRUE,-1,1,4,7,,,
"
",,,,,,,,,,,
